Days	A_Cs	Flux
184.04	8.704E-01	 
185.00		1.688E+00
186.04	8.947E-01	 
187.50		1.813E+00
189.04	9.337E-01	 
190.00		1.723E+00
191.04	9.584E-01	 
192.00		1.689E+00
193.04	9.826E-01	 
194.50		1.795E+00
196.04	1.021E+00	 
197.00		1.589E+00
198.04	1.044E+00	 
199.00		1.637E+00
200.04	1.067E+00	 
201.50		1.743E+00
203.04	1.105E+00	 
204.00		1.658E+00
205.04	1.129E+00	 
206.00		1.630E+00
207.04	1.152E+00	 
208.50		1.760E+00
210.04	1.190E+00	 
211.00		1.646E+00
212.04	1.214E+00	 
213.00		1.664E+00
214.04	1.237E+00	 
215.50		1.807E+00
217.04	1.276E+00	 
218.00		1.663E+00
219.04	1.300E+00	 
220.00		1.704E+00
221.04	1.325E+00	 
222.50		1.812E+00
224.04	1.364E+00	 
225.00		1.684E+00
226.04	1.388E+00	 
227.00		1.665E+00
228.04	1.412E+00	 
229.50		1.799E+00
231.03	1.450E+00	 
232.00		1.855E+00
233.04	1.477E+00	 
236.77		1.180E+00
239.04	1.528E+00	 
240.50		1.816E+00
242.04	1.567E+00	 
243.50		1.905E+00
245.04	1.608E+00	 
246.04		2.171E+00
247.04	1.639E+00	 
248.00		1.713E+00
249.04	1.663E+00	 
250.54		1.429E+00
252.04	1.694E+00	 
252.55		1.177E+00
253.05	1.703E+00	 
253.50		1.942E+00
254.04	1.716E+00	 
255.00		1.746E+00
256.04	1.741E+00	 
257.50		1.850E+00
259.04	1.781E+00	 
260.00		1.715E+00
261.04	1.806E+00	 
262.00		1.670E+00
263.04	1.830E+00	 
264.50		1.796E+00
266.04	1.868E+00	 
267.00		1.687E+00
268.04	1.893E+00	 
269.00		1.691E+00
270.04	1.917E+00	 
271.50		1.815E+00
273.04	1.956E+00	 
274.00		1.819E+00
275.04	1.982E+00	 
276.00		1.735E+00
277.04	2.007E+00	 
278.50		1.745E+00
280.04	2.044E+00	 
281.00		1.734E+00
282.04	2.069E+00	 
283.00		1.714E+00
284.04	2.094E+00	 
285.50		1.816E+00
287.04	2.133E+00	 
288.00		1.756E+00
289.04	2.158E+00	 
290.00		1.788E+00
291.04	2.184E+00	 
292.50		1.787E+00
294.04	2.222E+00	 
295.00		1.721E+00
296.04	2.247E+00	 
297.00		1.704E+00
298.04	2.271E+00	 
299.50		1.832E+00
301.04	2.311E+00	 
302.00		1.722E+00
303.04	2.335E+00	 
304.00		1.740E+00
305.04	2.360E+00	 
306.50		1.768E+00
308.04	2.398E+00	 
309.00		1.734E+00
310.04	2.423E+00	 
311.00		1.700E+00
312.04	2.448E+00	 
313.50		1.833E+00
315.04	2.487E+00	 
316.00		1.740E+00
317.04	2.512E+00	 
318.00		1.688E+00
319.04	2.536E+00	 
320.50		1.767E+00
322.04	2.574E+00	 
323.00		1.724E+00
324.04	2.599E+00	 
325.00		1.685E+00
326.04	2.623E+00	 
327.50		1.841E+00
329.04	2.663E+00	 
330.00		1.637E+00
331.04	2.686E+00	 
332.00		1.633E+00
333.04	2.710E+00	 
334.50		1.840E+00
336.04	2.749E+00	 
337.00		1.632E+00
338.04	2.773E+00	 
339.00		1.668E+00
340.04	2.797E+00	 
341.50		1.888E+00
343.04	2.837E+00	 
344.00		1.762E+00
345.04	2.862E+00	 
346.00		1.672E+00
347.04	2.886E+00	 
348.50		1.864E+00
350.04	2.927E+00	 
351.00		1.698E+00
352.04	2.951E+00	 
353.00		1.677E+00
354.04	2.975E+00	 
355.50		1.713E+00
357.05	3.012E+00	 
358.00		1.656E+00
359.04	3.036E+00	 
360.00		1.674E+00
361.04	3.060E+00	 
362.50		1.840E+00
364.04	3.099E+00	 
365.00		1.645E+00
366.04	3.123E+00	 
367.00		1.639E+00
368.04	3.146E+00	 
369.50		1.800E+00
371.04	3.185E+00	 
372.00		1.588E+00
373.04	3.208E+00	 
374.00		1.610E+00
375.04	3.231E+00	 
376.50		1.691E+00
378.04	3.267E+00	 
379.00		1.548E+00
380.04	3.289E+00	 
381.00		1.617E+00
382.04	3.313E+00	 
383.50		1.665E+00
385.04	3.348E+00	 
386.00		1.480E+00
387.04	3.370E+00	 
388.00		1.472E+00
389.04	3.391E+00	 
390.50		1.620E+00
392.05	3.426E+00	 
393.00		1.590E+00
394.04	3.448E+00	 
395.00		1.497E+00
396.04	3.470E+00	 
397.50		1.701E+00
399.04	3.506E+00	 
400.04		9.270E-01
401.04	3.520E+00	 
402.04		1.064E+00
403.04	3.535E+00	 
404.50		1.423E+00
406.04	3.566E+00	 
407.00		1.580E+00
408.04	3.588E+00	 
409.00		1.518E+00
410.04	3.610E+00	 
411.50		1.727E+00
413.04	3.647E+00	 
414.00		1.572E+00
415.04	3.670E+00	 
416.00		1.488E+00
417.04	3.691E+00	 
418.50		1.686E+00
420.04	3.727E+00	 
421.00		1.576E+00
422.04	3.750E+00	 
423.00		1.513E+00
424.04	3.772E+00	 
425.50		1.676E+00
427.04	3.808E+00	 
428.00		1.639E+00
429.04	3.831E+00	 
430.00		1.535E+00
431.04	3.853E+00	 
432.50		1.754E+00
434.04	3.891E+00	 
435.00		1.552E+00
436.04	3.913E+00	 
437.00		1.519E+00
438.04	3.935E+00	 
439.50		1.767E+00
441.04	3.973E+00	 
442.00		1.602E+00
443.04	3.996E+00	 
444.00		1.596E+00
445.04	4.019E+00	 
446.50		1.732E+00
448.04	4.056E+00	 
449.00		1.640E+00
450.04	4.080E+00	 
451.00		1.412E+00
452.04	4.100E+00	 
453.50		1.492E+00
455.04	4.132E+00	 
456.00		1.353E+00
457.04	4.151E+00	 
458.00		1.329E+00
459.04	4.170E+00	 
460.50		1.405E+00
462.04	4.201E+00	 
463.00		1.280E+00
464.04	4.219E+00	 
465.00		1.280E+00
466.04	4.237E+00	 
467.50		1.383E+00
469.04	4.267E+00	 
470.00		1.284E+00
471.04	4.286E+00	 
472.00		1.291E+00
473.04	4.304E+00	 
474.50		1.367E+00
476.04	4.333E+00	 
477.00		1.235E+00
478.04	4.351E+00	 
479.00		1.246E+00
480.04	4.369E+00	 
481.50		1.392E+00
483.04	4.399E+00	 
484.00		1.293E+00
485.04	4.418E+00	 
486.00		1.296E+00
487.04	4.436E+00	 
488.50		1.393E+00
490.04	4.466E+00	 
491.00		1.236E+00
492.04	4.484E+00	 
493.04		9.181E-01
494.04	4.497E+00	 
495.50		1.403E+00
497.04	4.527E+00	 
498.00		1.211E+00
499.04	4.545E+00	 
500.00		1.200E+00
501.04	4.562E+00	 
502.50		1.309E+00
504.12	4.591E+00	 
505.00		1.183E+00
506.08	4.607E+00	 
507.00		1.150E+00
508.12	4.624E+00	 
509.50		1.225E+00
511.31	4.652E+00	 
512.00		1.233E+00
513.12	4.668E+00	 
514.00		1.190E+00
515.12	4.685E+00	 
516.50		1.276E+00
518.04	4.712E+00	 
519.00		1.120E+00
520.06	4.728E+00	 
521.00		1.143E+00
522.04	4.744E+00	 
524.54		
527.04	4.763E+00	 
528.00		1.246E+00
529.04	4.781E+00	 
530.50		1.331E+00
532.04	4.810E+00	 
533.00		1.169E+00
534.04	4.827E+00	 
535.00		1.170E+00
536.04	4.843E+00	 
537.50		1.180E+00
539.04	4.869E+00	 
540.00		1.166E+00
541.04	4.886E+00	 
542.00		1.172E+00
543.04	4.902E+00	 
544.50		1.207E+00
546.04	4.928E+00	 
547.00		1.091E+00
548.04	4.944E+00	 
549.00		1.165E+00
550.04	4.961E+00	 
551.50		1.254E+00
553.04	4.988E+00	 
554.00		1.050E+00
555.04	5.003E+00	 
556.00		1.040E+00
557.04	5.018E+00	 
558.50		1.120E+00
560.04	5.042E+00	 
561.00		1.004E+00
562.04	5.056E+00	 
563.00		1.024E+00
564.04	5.071E+00	 
565.50		1.118E+00
567.04	5.095E+00	 
568.00		1.079E+00
569.04	5.110E+00	 
570.00		1.054E+00
571.04	5.125E+00	 
572.50		1.121E+00
574.04	5.150E+00	 
575.00		1.084E+00
576.04	5.165E+00	 
577.00		1.061E+00
578.04	5.180E+00	 
579.50		1.030E+00
581.04	5.203E+00	 
582.00		1.070E+00
583.04	5.218E+00	 
584.00		1.112E+00
585.04	5.234E+00	 
586.50		1.063E+00
588.04	5.257E+00	 
589.00		9.930E-01
590.04	5.271E+00	 
591.00		1.031E+00
592.04	5.286E+00	 
593.50		1.057E+00
595.00	5.308E+00	 
596.00		1.051E+00
597.04	5.323E+00	 
598.00		1.069E+00
599.04	5.339E+00	 
600.50		1.064E+00
602.04	5.362E+00	 
603.00		9.558E-01
604.04	5.375E+00	 
605.00		9.864E-01
606.04	5.390E+00	 
607.50		1.062E+00
609.04	5.412E+00	 
610.00		1.000E+00
611.04	5.427E+00	 
612.00		1.042E+00
613.04	5.442E+00	
616.03	5.442E+00	 
617.00		1.055E+00
618.04	5.457E+00	 
619.00		9.940E-01
620.04	5.471E+00	 
621.50		1.033E+00
623.04	5.493E+00	 
624.00		9.143E-01
625.04	5.507E+00	 
626.00		8.862E-01
627.04	5.519E+00	 
628.50		9.519E-01
630.04	5.540E+00	 
631.00		9.365E-01
632.04	5.553E+00	 
633.00		9.439E-01
634.04	5.567E+00	 
635.50		9.761E-01
637.04	5.588E+00	 
638.00		8.832E-01
639.04	5.600E+00	 
640.00		9.137E-01
641.04	5.613E+00	 
642.50		9.707E-01
644.04	5.634E+00	 
645.04		8.443E-01
646.04	5.646E+00	 
647.04		9.198E-01
648.04	5.660E+00	 
649.54		9.103E-01
651.04	5.679E+00	 
652.04		8.442E-01
653.05	5.691E+00	 
654.05		8.348E-01
655.05	5.703E+00	 
656.55		9.148E-01
658.04	5.723E+00	 
659.13		7.723E-01
660.22	5.735E+00	 
661.23		8.116E-01
662.25	5.747E+00	 
663.64		9.802E-01
665.04	5.766E+00	 
666.06		8.063E-01
667.07	5.778E+00	 
668.06		8.226E-01
669.04	5.790E+00	 
670.54		8.852E-01
672.04	5.809E+00	 
673.04		8.038E-01
674.03	5.820E+00	 
675.03		8.313E-01
676.03	5.832E+00	 
677.53		8.790E-01
679.03	5.851E+00	 
680.03		7.948E-01
681.02	5.863E+00	 
682.03		7.621E-01
683.03	5.873E+00	 
684.51		8.423E-01
685.99	5.891E+00	 
686.99		7.931E-01
687.99	5.903E+00	
689.99	5.903E+00	 
691.49		9.960E-01
692.99	5.924E+00	 
693.99		8.246E-01
694.99	5.936E+00	 
695.99		7.912E-01
696.99	5.947E+00	 
698.49		8.024E-01
699.99	5.965E+00	 
700.99		5.142E-01
701.99	5.972E+00	 
702.99		8.000E-01
703.99	5.983E+00	 
705.49		9.041E-01
706.99	6.003E+00	 
707.99		7.968E-01
708.99	6.014E+00	 
709.99		7.209E-02
710.99	6.015E+00	 
712.49		9.086E-01
713.99	6.035E+00	 
714.82		9.951E-01
715.66	6.047E+00	 
716.66		8.417E-01
717.66	6.059E+00	 
719.16		9.133E-01
720.66	6.078E+00	 
721.88		5.271E-02
723.10	6.079E+00	 
724.05		9.361E-01
724.99	6.092E+00	 
726.49		8.504E-01
727.99	6.110E+00	 
728.99		7.858E-01
729.99	6.122E+00	 
730.99		7.782E-01
731.99	6.133E+00	 
733.49		8.172E-01
734.99	6.150E+00	 
735.99		7.887E-01
736.99	6.162E+00	 
737.99		6.992E-03
738.99	6.162E+00	 
740.54		7.817E-02
742.09	6.164E+00	 
743.04		1.005E+00
743.99	6.177E+00	 
745.10		7.845E-01
746.20	6.190E+00	 
748.10		7.686E-01
749.99	6.211E+00	 
751.49		7.646E-01
752.99	6.227E+00	 
754.49		7.791E-01
755.99	6.244E+00	 
756.99		7.564E-01
757.99	6.255E+00	 
758.99		7.822E-01
760.00	6.266E+00	 
761.49		7.940E-01
762.99	6.283E+00	 
763.99		7.571E-01
764.99	6.294E+00	 
765.99		7.782E-01
766.99	6.305E+00	 
768.49		7.647E-01
769.99	6.321E+00	 
770.99		7.411E-01
771.99	6.332E+00	 
772.99		7.232E-01
773.99	6.342E+00	 
775.59		7.029E-01
777.20	6.359E+00	 
778.09		7.520E-01
778.99	6.368E+00	 
779.99		6.869E-01
780.99	6.378E+00	 
782.49		7.461E-01
783.99	6.394E+00	 
785.00		6.974E-01
786.01	6.404E+00	 
787.02		6.725E-01
788.04	6.414E+00	 
789.52		7.365E-01
790.99	6.430E+00	 
791.99		6.839E-01
792.99	6.439E+00	 
793.99		6.734E-01
794.99	6.449E+00	 
796.49		7.218E-01
797.99	6.465E+00	 
798.99		7.068E-01
799.99	6.475E+00	 
800.99		7.003E-01
801.99	6.485E+00	 
803.49		7.270E-01
804.99	6.500E+00	 
805.99		6.711E-01
806.99	6.510E+00	 
807.99		6.775E-01
808.99	6.520E+00	 
810.49		7.074E-01
811.99	6.535E+00	 
813.49		5.252E-01
814.99	6.546E+00	 
815.49		6.667E-01
815.99	6.551E+00	 
817.49		6.992E-01
818.99	6.566E+00	 
819.99		6.833E-01
821.00	6.576E+00	 
821.99		6.751E-01
822.99	6.586E+00	 
824.49		6.595E-01
825.99	6.600E+00	 
827.99		4.070E-01
829.99	6.611E+00	 
831.49		6.776E-01
832.99	6.626E+00	 
833.99		6.391E-01
834.99	6.635E+00	 
835.99		6.460E-01
836.99	6.644E+00	 
838.49		6.736E-01
839.99	6.659E+00	 
840.99		6.419E-01
841.99	6.668E+00	 
842.99		6.230E-01
843.99	6.677E+00	 
845.49		6.350E-01
846.99	6.691E+00	 
847.99		6.280E-01
848.99	6.700E+00	 
849.99		3.630E-01
850.99	6.705E+00	 
852.49		5.023E-01
853.99	6.716E+00	 
854.99		5.993E-01
855.99	6.724E+00	 
856.99		5.771E-01
857.99	6.733E+00	 
859.49		5.930E-01
860.99	6.745E+00	 
861.99		5.935E-01
862.99	6.754E+00	 
863.99		5.673E-01
864.99	6.762E+00	 
866.49		6.000E-01
867.99	6.775E+00	 
869.03		5.514E-01
870.08	6.783E+00	 
871.03		5.790E-01
871.99	6.791E+00	 
873.49		5.716E-01
874.99	6.803E+00	 
875.99		6.915E-01
876.99	6.813E+00	 
877.99		7.004E-01
878.99	6.823E+00	 
880.49		5.804E-01
881.99	6.836E+00	 
882.99		5.453E-01
884.00	6.844E+00	 
884.99		5.473E-01
885.99	6.851E+00	 
887.49		5.446E-01
888.99	6.863E+00	 
889.99		5.250E-01
890.99	6.871E+00	 
891.99		5.421E-01
892.99	6.878E+00	 
894.49		5.285E-01
895.99	6.890E+00	 
896.99		5.263E-01
897.99	6.897E+00	 
898.99		5.299E-01
899.99	6.905E+00	 
901.51		5.257E-01
903.03	6.916E+00	 
904.03		5.245E-01
905.03	6.924E+00	 
906.03		5.255E-01
907.03	6.932E+00	 
908.53		5.400E-01
910.03	6.943E+00	 
911.03		5.284E-01
912.03	6.951E+00	 
913.03		4.999E-01
914.03	6.958E+00	 
915.53		5.273E-01
917.03	6.969E+00	 
918.03		5.093E-01
919.03	6.977E+00	 
920.03		4.789E-01
921.03	6.983E+00	 
922.53		4.931E-01
924.03	6.994E+00	 
925.03		4.842E-01
926.03	7.001E+00	 
927.03		4.731E-01
928.03	7.008E+00	 
929.53		4.994E-01
931.03	7.018E+00	 
932.03		4.866E-01
933.03	7.025E+00	 
934.03		4.919E-01
935.03	7.033E+00	 
936.53		4.958E-01
938.03	7.043E+00	 
939.03		4.942E-01
940.03	7.050E+00	 
941.03		4.917E-01
942.03	7.057E+00	 
